UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES,,FILTRES,,,,,FR,EN,,,
Homme,Men ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons écourtés,Cropped pants,Catégorie_Pantalons écourtés,Category_Cropped pants,"Pantalons écourtés,Cropped pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Catégorie_Pantalons & Shorts,Category_Trousers & Shorts
Homme,Men ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons habillés,Dress pants,Catégorie_Pantalons habillés,Category_Dress pants,"Pantalons habillés,Dress pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Catégorie_Pantalons & Shorts,Category_Trousers & Shorts
Homme,Men ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons larges,Wide & flared pants,Catégorie_Pantalons larges,Category_Wide & flared pants,"Pantalons larges,Wide & flared pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Catégorie_Pantalons & Shorts,Category_Trousers & Shorts
Homme,Men ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Pantalons slim,Slim pants,Catégorie_Pantalons slim,Category_Slim pants,"Pantalons slim,Slim pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Catégorie_Pantalons & Shorts,Category_Trousers & Shorts
Homme,Men ,Vêtements,Clothing,Pantalons & Shorts,Trousers & Shorts,Shorts,Shorts,Catégorie_Shorts,Category_Shorts,"Shorts,Shorts,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Catégorie_Pantalons & Shorts,Category_Trousers & Shorts
Homme,Men ,Vêtements,Clothing,Pulls & Maille,Sweater & Knitwear ,Cardigans,Cardigans,Catégorie_Cardigans,Category_Cardigans,"Cardigans,Cardigans,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Catégorie_Pulls & Maille,Category_Sweater & Knitwear 
Homme,Men ,Vêtements,Clothing,Pulls & Maille,Sweater & Knitwear ,Pulls,Knitwear,Catégorie_Pulls,Category_Knitwear,"Pulls,Knitwear,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Catégorie_Pulls & Maille,Category_Sweater & Knitwear 
Homme,Men ,Vêtements,Clothing,Pulls & Maille,Sweater & Knitwear ,Sweatshirts & Hoodies,Sweatshirts & Hoodies,Catégorie_Sweatshirts & Hoodies,Category_Sweatshirts & Hoodies,"Sweatshirts & Hoodies,Sweatshirts & Hoodies,Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Pulls & Maille,Sweater & Knitwear ,"Catégorie_Pulls & Maille,Category_Sweater & Knitwear ",Catégorie_Pulls & Maille,Category_Sweater & Knitwear 
Homme,Men ,Vêtements,Clothing,Hauts & T-shirts,Tops & T-shirts,Débardeurs,Tank tops,Catégorie_Débardeurs,Category_Tank tops,"Débardeurs,Tank tops,Catégorie_Hauts & T-shirts,Category_Tops & T-shirts",Hauts & T-shirts,Tops & T-shirts,"Catégorie_Hauts & T-shirts,Category_Tops & T-shirts",Catégorie_Hauts & T-shirts,Category_Tops & T-shirts
Homme,Men ,Vêtements,Clothing,Hauts & T-shirts,Tops & T-shirts,Polos,Polos,Catégorie_Polos,Category_Polos,"Polos,Polos,Catégorie_Hauts & T-shirts,Category_Tops & T-shirts",Hauts & T-shirts,Tops & T-shirts,"Catégorie_Hauts & T-shirts,Category_Tops & T-shirts",Catégorie_Hauts & T-shirts,Category_Tops & T-shirts
