  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
Femme,Women ,Vêtements,Clothing,Vestes,Jackets,Vestes de moto,Biker jackets,Catégorie_Vestes de moto,Category_Biker jackets,"Vestes de moto,Biker jackets,Catégorie_Manteaux & Vestes,Category_Coats & Blazer",Manteaux & Vestes,Category_Coats & Blazer,Coats & Blazer,"Catégorie_Manteaux & Vestes,Category_Coats & Blazer",Done
Femme,Women ,Vêtements,Clothing,Vestes,Jackets,Vestes en cuir,Leather jackets,Catégorie_Vestes en cuir,Category_Leather jackets,"Vestes en cuir,Leather jackets,Catégorie_Manteaux & Vestes,Category_Coats & Blazer",Manteaux & Vestes,Category_Coats & Blazer,Coats & Blazer,"Catégorie_Manteaux & Vestes,Category_Coats & Blazer",Done
Femme,Women ,Vêtements,Clothing,Vestes,Jackets,Vestes en jean ,Denim jackets ,Catégorie_Vestes en jean ,Category_Denim jackets ,"Vestes en jean ,Denim jackets ,Catégorie_Manteaux & Vestes,Category_Coats & Blazer",Manteaux & Vestes,Category_Coats & Blazer,Coats & Blazer,"Catégorie_Manteaux & Vestes,Category_Coats & Blazer",
Femme,Women ,Vêtements,Clothing,Vestes,Jackets,Vestes en peau lainée,Faux fur & shearling jackets,,,,,,,,
Femme,Women ,Vêtements,Clothing,Vestes,Jackets,Vestes en tweed,Tweed jackets ,,,,,,,,
Femme,Women ,Vêtements,Clothing,Vestes,Jackets,Vestes militaires,Military jackets,,,,,,,,
Femme,Women ,Vêtements,Clothing,Vestes,Jackets,Vestes oversize,Oversized jackets,,,,,,,,
Femme,Women ,Vêtements,Clothing,Vestes,Jackets,Vestons & gilets,Waistcoasts & gilets,,,,,,,,
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupes ajustées,Fitted skirts,,,,,,,,
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupes asymétriques & jupes drapées,Asymmetric & draped skirts,,,,,,,,
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupes crayon,Pencil skirts,,,,,,,,
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupes droites,Straight skirts,Vêtements,Clothing,Jupes,Skirts,,,,
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupes plissées,Pleated skirts,Vêtements,Clothing,Jupes,Skirts,,,,
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupes taille haute ,High-waisted skirts,Vêtements,Clothing,Jupes,Skirts,,,,
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupes trapèze ,A-line skirts,,,,,,,,
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupe évasées,Full skirts ,,,,,,,,
Femme,Women ,Vêtements,Clothing,Pantalons,Trousers ,Leggings ,Leggings,Catégorie_Leggings ,Category_Leggings,"Leggings ,Leggings,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons,Trousers ,Pantalons courts,Capri pants,Catégorie_Pantalons courts,Category_Capri pants,"Pantalons courts,Capri pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons,Trousers ,Pantalons de costume,Slacks,Catégorie_Pantalons de costume,Category_Slacks,"Pantalons de costume,Slacks,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
Femme,Women ,Vêtements,Clothing,Pantalons,Trousers ,Pantalons de survêtement,Sweat pants,Catégorie_Pantalons de survêtement,Category_Sweat pants,"Pantalons de survêtement,Sweat pants,Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Pantalons & Shorts,Category_Trousers & Shorts,Trousers & Shorts,"Catégorie_Pantalons & Shorts,Category_Trousers & Shorts",Done
