  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
Femme,Women ,Vêtements,Clothing,Robes,Dresses,Robes longues,Long dresses,Catégorie_Robes longues,Category_Long dresses,"Robes longues,Long dresses,Catégorie_Robes,Category_Dresses",Robes,Category_Dresses,Dresses,"Catégorie_Robes,Category_Dresses",
Femme,Women ,Vêtements,Clothing,Robes,Dresses,Robes mi-longues,Mid-Length dresses,Catégorie_Robes mi-longues,Category_Mid-Length dresses,"Robes mi-longues,Mid-Length dresses,Catégorie_Robes,Category_Dresses",Robes,Category_Dresses,Dresses,"Catégorie_Robes,Category_Dresses",
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Blousons & Bombers,Jackets & Bombers,Catégorie_Blousons & Bombers,Category_Jackets & Bombers,"Blousons & Bombers,Jackets & Bombers,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Cuirs & Fourrures,Leather & Fur,Catégorie_Cuirs & Fourrures,Category_Leather & Fur,"Cuirs & Fourrures,Leather & Fur,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Faux cuirs & Fausses fourrures,Faux Leather & Faux fur,Catégorie_Faux cuirs & Fausses fourrures,Category_Faux Leather & Faux fur,"Faux cuirs & Fausses fourrures,Faux Leather & Faux fur,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Gilets,Vests,Catégorie_Gilets,Category_Vests,"Gilets,Vests,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Vestes casual,Casual jackets,Catégorie_Vestes casual,Category_Casual jackets,"Vestes casual,Casual jackets,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Vestes structurées,Structured jackets,Catégorie_Vestes structurées,Category_Structured jackets,"Vestes structurées,Structured jackets,Catégorie_Blousons,Category_Jackets",Blousons,Category_Jackets,Jackets,"Catégorie_Blousons,Category_Jackets",
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Parkas,Parkas,,,,,,,,
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Doudounes,Down jacket,,,,,,,,
Femme,Women ,Vêtements,Clothing,Blousons,Jackets,Cuirs & Fourrures,Leather & Fur,,,,,,,,
Femme,Women ,Vêtements,Clothing,Vêtements d'intérieur,Homewear,Vêtements d'intérieur,Homewear,Catégorie_Vêtements d'intérieur,Category_Homewear,"Vêtements d'intérieur,Homewear,Catégorie_?,Category_?",?,Category_?,?,"Catégorie_?,Category_?",
CHAUSSURES FEMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,Category_,,"Catégorie_,Category_",
Femme,Women ,Chaussures,Shoes ,Chaussures plates,Flats,Ballerines,Ballerina shoes,Catégorie_Ballerines,Category_Ballerina shoes,"Ballerines,Ballerina shoes,Catégorie_Chaussures plates,Category_Flats",Chaussures plates,Category_Flats,Flats,"Catégorie_Chaussures plates,Category_Flats",
Femme,Women ,Chaussures,Shoes ,Baskets,Sneakers,Baskets basses,Low top sneakers,Catégorie_Baskets basses,Category_Low top sneakers,"Baskets basses,Low top sneakers,Catégorie_Baskets,Category_Sneakers",Baskets,Category_Sneakers,Sneakers,"Catégorie_Baskets,Category_Sneakers",
Femme,Women ,Chaussures,Shoes ,Baskets,Sneakers,Baskets hautes,High top sneakers,Catégorie_Baskets hautes,Category_High top sneakers,"Baskets hautes,High top sneakers,Catégorie_Baskets,Category_Sneakers",Baskets,Category_Sneakers,Sneakers,"Catégorie_Baskets,Category_Sneakers",
Femme,Women ,Chaussures,Shoes ,Bottes & Bottines,Boots & Ankle Boots,Bottes à talons,Heeled boots,Catégorie_Bottes à talons,Category_Heeled boots,"Bottes à talons,Heeled boots,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Bottes & Bottines,Boots & Ankle Boots,Bottes plates,Flat boots,Catégorie_Bottes plates,Category_Flat boots,"Bottes plates,Flat boots,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Bottes & Bottines,Boots & Ankle Boots,Bottines à talons,Heeled ankle boots,Catégorie_Bottines à talons,Category_Heeled ankle boots,"Bottines à talons,Heeled ankle boots,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Bottes & Bottines,Boots & Ankle Boots,Bottines plates,Flat ankle boots,Catégorie_Bottines plates,Category_Flat ankle boots,"Bottines plates,Flat ankle boots,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Bottes & Bottines,Boots & Ankle Boots,Cuissardes,Over the knee boots,Catégorie_Cuissardes,Category_Over the knee boots,"Cuissardes,Over the knee boots,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Chaussures plates,Flats,Derbies & Richelieu,Derbies & Oxfords shoes,Catégorie_Derbies & Richelieu,Category_Derbies & Oxfords shoes,"Derbies & Richelieu,Derbies & Oxfords shoes,Catégorie_Chaussures plates,Category_Flats",Chaussures plates,Category_Flats,Flats,"Catégorie_Chaussures plates,Category_Flats",
